Search Term,Category,Subcategory,Note
Adrik,Basic,Full name,Adrik Fireforge
Adrik,Basic,Hometown,Ekrund
Adrik,Family,Wife,Vistra Fireforge
Adrik,Family,Son,Rurik Fireforge
Adrik,Basic,God,Brokkr
Adrik,Basic,Class,Forge domain cleric
Adrik,Basic,Race,Mountain dwarf
Adrik,Backstory,1,
Adrik,Backstory,2,In Tawlech because it's a good place to be a blacksmith for the army
Vistra,Basic,Full name, Vistra Fireforge
Vistra,Basic,Hometown,Ekrund
Vistra,Family,Husband,Adrik Fireforge
Vistra,Family,Son,Rurik Fireforge
Vistra,Basic,God,Brokkr
Madori,Basic,Full name, Madori Morris
Madori,Basic,Class,Ranger
Madori,Basic,Race,Tiefling
Zala,Basic,Full name, Zala
Zala,Basic,Class,Samurai Fighter
Zala,Basic,Race,Half-orc
Enid,Basic,Full name,Enid
Enid,Basic,Class,Wizard
Enid,Basic,Race,Human
Ekrund,Basic,History,Homeland of dwarves
Ekrund,Basic,Industry,Smelting magical ore
Ekrund,Basic,Geography,Town in the Teogan Empire

